Geneid	Length	W100	W101	W102	W105	W106	W107	W110	W111	W112	W115	W116	W117	W120	W121	W122	W125	W126	W127	W130	W131	W132
AT1G78930	2266	49	47	41	48	37	43	39	54	50	42	39	66	44	45	36	31	60	44	47	44	25
AT1G30814	1657	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	3	0	0
AT1G71695	1480	113	276	237	135	93	189	299	289	365	205	184	146	272	289	204	123	124	128	127	117	158
AT1G58983	1223	1	7	9	5	5	11	5	3	6	8	15	11	7	16	10	7	7	19	6	7	9
AT1G12980	1248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45223	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	1276	9	3	10	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0	3	8
AT1G66852	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	1940	639	891	739	885	870	844	766	872	868	708	993	876	727	730	630	951	1099	785	642	694	719
AT1G72450	2128	303	347	182	131	128	129	142	215	221	132	170	135	157	133	126	184	203	110	151	107	167
AT1G76280	3299	134	184	134	244	141	143	193	220	211	207	175	247	161	171	126	166	230	247	219	138	203
AT1G65630	1761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71390	2575	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
AT1G56233	335	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	4849	834	2298	1919	2045	1275	1494	1770	1680	1595	2090	1917	2556	1134	1650	2007	1552	2735	1835	1499	1391	1206
AT1G15250	642	344	267	238	333	287	433	298	321	371	316	323	344	318	330	258	323	281	336	247	268	328
AT1G79700	1578	271	299	249	154	142	106	176	237	230	112	133	109	249	223	140	96	116	108	120	133	137
AT1G62895	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73360	3506	38	47	32	40	46	54	45	54	61	71	56	101	37	70	49	58	70	60	53	57	51
AT1G16360	1643	10	12	4	8	6	6	5	11	10	6	6	7	7	8	0	13	4	10	6	13	4
AT1G10225	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26670	1219	4869	3332	3539	1006	1064	1169	1429	2010	2080	1578	1338	1485	2891	2286	1305	1506	1174	1178	1371	1325	2216
AT1G34855	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52200	1798	3925	2791	2341	2019	2234	2310	2966	3633	4044	1868	2114	1808	2528	3036	2265	2092	1929	1501	1910	1646	1978
AT1G57800	2119	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69460	1107	1629	1282	1267	1014	937	1086	1004	1230	1345	1204	1166	1296	1447	1234	929	1431	1070	1182	945	975	1406
AT1G04310	2596	109	136	113	70	45	39	89	80	102	94	75	102	98	88	76	74	108	80	115	110	99
AT1G08080	924	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75550	1178	40	33	33	24	23	40	34	46	40	52	44	44	48	38	47	41	28	25	35	31	67
AT1G71890	1863	0	0	0	1	0	0	0	6	0	1	2	1	0	0	2	0	0	0	2	0	0
AT1G05430	1176	420	339	318	308	267	302	276	343	346	301	415	382	448	367	297	435	416	399	292	353	391
AT1G80870	2500	386	396	344	478	363	325	484	656	649	422	561	595	584	557	638	449	644	531	600	470	488
AT1G75310	4758	170	218	154	158	150	83	127	166	142	127	300	258	180	151	206	117	394	216	234	201	170
AT1G02010	3073	100	122	76	82	58	48	50	94	63	79	81	89	87	79	58	91	120	104	95	79	121
AT1G47900	3842	321	486	324	549	516	420	513	538	514	486	764	768	471	553	547	532	945	515	477	421	334
AT1G14315	1067	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AT1G26760	1792	55	46	54	98	56	48	85	60	76	83	61	90	81	51	73	72	88	119	61	91	86
AT1G05250	1492	4	12	16	10	9	21	8	9	17	14	13	14	18	10	8	32	18	14	13	15	11
AT1G67260	1971	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AT1G24575	732	126	62	30	22	20	11	8	15	17	21	12	10	15	20	12	15	20	2	24	28	26
AT1G12790	1527	96	93	57	21	20	23	30	49	43	25	40	44	60	58	37	38	24	34	29	44	49
AT1G04850	2067	1677	2167	1963	2018	1686	1464	2185	2351	2229	1965	2984	2565	1898	2502	2183	2118	3497	2781	2481	2373	2169
AT1G31760	1434	219	150	129	172	107	170	159	195	177	158	100	146	160	175	94	124	78	146	129	112	167
AT1G33250	2419	283	534	452	341	270	372	360	404	457	395	399	390	394	461	373	336	412	460	391	362	289
AT1G74000	1340	100	84	44	77	79	95	49	55	70	99	157	129	108	97	81	135	111	75	69	58	54
AT1G55580	1980	121	108	70	77	91	116	186	167	158	110	99	151	109	179	138	138	114	148	143	113	136
AT1G53903	876	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AT1G19715	2246	142	176	180	186	141	179	70	86	79	200	221	184	108	98	48	166	314	201	98	100	81
